ADM0_NAME,ADM1_NAME,ADM2_NAME
United Republic of Tanzania,Arusha,Karatu
United Republic of Tanzania,Iringa,Iringa Rural
United Republic of Tanzania,Iringa,Kilolo
United Republic of Tanzania,Manyara,Mbulu
United Republic of Tanzania,Pwani,Kisarawe
United Republic of Tanzania,Pwani,Mkuranga
United Republic of Tanzania,Shinyanga,Kahama
United Republic of Tanzania,Mtwara,Newala
United Republic of Tanzania,Mtwara,Tandahimba
United Republic of Tanzania,Mwanza,Kwimba
United Republic of Tanzania,Mwanza,Misungwi
United Republic of Tanzania,Mbeya,Mbarali
United Republic of Tanzania,Mbeya,Mbeya Rural
United Republic of Tanzania,Shinyanga,Kishapu
United Republic of Tanzania,Shinyanga,Shinyanga Rural
United Republic of Tanzania,Morogoro,Morogoro
United Republic of Tanzania,Morogoro,Mvomero
United Republic of Tanzania,Tanga,Handeni
United Republic of Tanzania,Tanga,Handeni Township Authority
United Republic of Tanzania,Tanga,Kilindi
United Republic of Tanzania,Tanga,Mkinga
United Republic of Tanzania,Tanga,Muheza
United Republic of Tanzania,Dodoma,Chemba
United Republic of Tanzania,Dodoma,Kondoa
United Republic of Tanzania,Geita,Bukombe
United Republic of Tanzania,Geita,Geita
United Republic of Tanzania,Geita,Mbogwe
United Republic of Tanzania,Geita,Nyang'wale
United Republic of Tanzania,Kagera,Karagwe
United Republic of Tanzania,Kagera,Kyerwa
United Republic of Tanzania,Katavi,Mlele
United Republic of Tanzania,Katavi,Mpanda Rural
United Republic of Tanzania,Katavi,Mpanda Urban
United Republic of Tanzania,Kigoma,Buhigwe
United Republic of Tanzania,Kigoma,Kakonko
United Republic of Tanzania,Kigoma,Kasulu
United Republic of Tanzania,Kigoma,Kasulu Township Authority
United Republic of Tanzania,Kigoma,Kibondo
United Republic of Tanzania,Kigoma,Kigoma Rural
United Republic of Tanzania,Kigoma,Uvinza
United Republic of Tanzania,Mara,Butiama
United Republic of Tanzania,Mara,Musoma
United Republic of Tanzania,Mbeya,Mbozi
United Republic of Tanzania,Mbeya,Momba
United Republic of Tanzania,Morogoro,Gairo
United Republic of Tanzania,Morogoro,Kilosa
United Republic of Tanzania,Mwanza,Magu
United Republic of Tanzania,Njombe,Njombe Rural
United Republic of Tanzania,Njombe,Njombe Urban
United Republic of Tanzania,Njombe,Wanging'ombe
United Republic of Tanzania,Rukwa,Kalambo
United Republic of Tanzania,Rukwa,Sumbawanga Rural
United Republic of Tanzania,Ruvuma,Mbinga
United Republic of Tanzania,Ruvuma,Nyasa
United Republic of Tanzania,Simiyu,Bariadi
United Republic of Tanzania,Simiyu,Busega
United Republic of Tanzania,Simiyu,Itilima
United Republic of Tanzania,Singida,Ikungi
United Republic of Tanzania,Singida,Iramba
United Republic of Tanzania,Singida,Mkalama
United Republic of Tanzania,Singida,Singida
United Republic of Tanzania,Tabora,Kaliua
United Republic of Tanzania,Tabora,Urambo
United Republic of Tanzania,Arusha,Arusha
United Republic of Tanzania,Arusha,Arusha Urban
United Republic of Tanzania,Arusha,Longido
United Republic of Tanzania,Arusha,Meru
United Republic of Tanzania,Arusha,Monduli
United Republic of Tanzania,Arusha,Ngorongoro
United Republic of Tanzania,Dar-es-salaam,Ilala
United Republic of Tanzania,Dar-es-salaam,Kinondoni
United Republic of Tanzania,Dar-es-salaam,Temeke
United Republic of Tanzania,Dodoma,Bahi
United Republic of Tanzania,Dodoma,Chamwino
United Republic of Tanzania,Dodoma,Dodoma Urban
United Republic of Tanzania,Dodoma,Kongwa
United Republic of Tanzania,Dodoma,Mpwapwa
United Republic of Tanzania,Geita,Chato
United Republic of Tanzania,Iringa,Iringa Urban
United Republic of Tanzania,Iringa,Mafinga Township Authority
United Republic of Tanzania,Iringa,Mufindi
United Republic of Tanzania,Kagera,Biharamulo
United Republic of Tanzania,Kagera,Bukoba Rural
United Republic of Tanzania,Kagera,Bukoba Urban
United Republic of Tanzania,Kagera,Missenyi
United Republic of Tanzania,Kagera,Muleba
United Republic of Tanzania,Kagera,Ngara
United Republic of Tanzania,Kaskazini Pemba,Micheweni
United Republic of Tanzania,Kaskazini Pemba,Wete
United Republic of Tanzania,Kaskazini Unguja,Kaskazini A
United Republic of Tanzania,Kaskazini Unguja,Kaskazini B
United Republic of Tanzania,Kigoma,Kigoma Municipal-Ujiji
United Republic of Tanzania,Kilimanjaro,Hai
United Republic of Tanzania,Kilimanjaro,Moshi
United Republic of Tanzania,Kilimanjaro,Moshi Municipal
United Republic of Tanzania,Kilimanjaro,Mwanga
United Republic of Tanzania,Kilimanjaro,Rombo
United Republic of Tanzania,Kilimanjaro,Same
United Republic of Tanzania,Kilimanjaro,Siha
United Republic of Tanzania,Kusini Pemba,Chake Chake
United Republic of Tanzania,Kusini Pemba,Mkoani
United Republic of Tanzania,Kusini Unguja,Kati
United Republic of Tanzania,Kusini Unguja,Kusini
United Republic of Tanzania,Lindi,Kilwa
United Republic of Tanzania,Lindi,Lindi Rural
United Republic of Tanzania,Lindi,Lindi Urban
United Republic of Tanzania,Lindi,Liwale
United Republic of Tanzania,Lindi,Nachingwea
United Republic of Tanzania,Lindi,Ruangwa
United Republic of Tanzania,Manyara,Babati
United Republic of Tanzania,Manyara,Babati Urban
United Republic of Tanzania,Manyara,Hanang
United Republic of Tanzania,Manyara,Kiteto
United Republic of Tanzania,Manyara,Simanjiro
United Republic of Tanzania,Mara,Bunda
United Republic of Tanzania,Mara,Musoma Municipal
United Republic of Tanzania,Mara,Rorya
United Republic of Tanzania,Mara,Serengeti
United Republic of Tanzania,Mara,Tarime
United Republic of Tanzania,Mbeya,Chunya
United Republic of Tanzania,Mbeya,Ileje
United Republic of Tanzania,Mbeya,Kyela
United Republic of Tanzania,Mbeya,Mbeya Urban
United Republic of Tanzania,Mbeya,Rungwe
United Republic of Tanzania,Mbeya,Tunduma
United Republic of Tanzania,Mjini Magharibi,Magharibi
United Republic of Tanzania,Mjini Magharibi,Mjini
